STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
LORDSCHLO,Lords Chloro Alkali Limited,282,137072.0,1.06,183.57,INCREASING,DECREASING,81.06,1.34,8.48,-2.81,SELL,BUY,BUY,1.0,BUY,False,True,STAY,0.56,0.59,0.0,,0,['SPINNINGTOP'],100
LOTUSEYE,Lotus Eye Hospital and Institute Limited,115,6421.0,0.18,72.51,INCREASING,DECREASING,51.23,0.65,3.74,2.79,STAY,BUY,BUY,0.14,STAY,False,False,STAY,0.37,-0.52,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS']",200
LOVABLE,Lovable Lingerie Limited,162,26515.0,0.54,135.86,INCREASING,INCREASING,55.51,-8.54,6.36,0.73,STAY,BUY,BUY,0.13,BUY,False,False,STAY,0.7,-2.96,0.0,,0,,0
LOYALTEX,Loyal Textile Mills Limited,247,138.0,0.04,365.2,NO TREND,DECREASING,41.74,0.0,20.14,4.9,STAY,SELL,BUY,0.03,STRONG SELL,False,False,STAY,-0.19,2.04,0.0,,-100,,0
LPDC,Landmark Property Development Company Limited,106,47462.0,0.07,12.28,INCREASING,INCREASING,57.78,-4.47,0.97,2.51,STAY,BUY,BUY,0.99,STRONG BUY,False,True,SELL,0.69,0.0,-5.29,['DOJI'],-100,['DOJI'],100
LRRPL,Lead Reclaim And Rubber Products Limited,23,13500.0,0.96,91.45,DECREASING,INCREASING,45.45,7.63,3.66,-0.71,STAY,SELL,STRONG BUY,0.33,STRONG SELL,False,True,STAY,-0.55,4.45,0.11,,0,['MARUBOZU'],100
LT,Larsen & Toubro Limited,517396,2241796.0,1.01,3894.75,INCREASING,INCREASING,63.08,2.49,91.33,-1.05,STAY,BUY,BUY,0.88,BUY,False,False,STAY,0.2,0.93,0.0,,0,['HAMMER'],100
LTFOODS,LT Foods Limited,6516,957913.0,1.24,431.8,INCREASING,INCREASING,64.34,-2.07,15.22,-0.9,STAY,BUY,BUY,0.15,SELL,False,False,STAY,-0.09,-0.51,0.0,,0,,-200
LTIM,LTIMindtree Limited,146257,329657.0,0.78,6718.65,INCREASING,INCREASING,80.27,1.13,145.08,2.51,SELL,BUY,BUY,1.0,BUY,False,False,STAY,0.39,1.03,0.0,,0,,0
LTTS,L&T Technology Services Limited,57979,123840.0,1.28,5404.9,INCREASING,INCREASING,64.07,-1.78,128.33,-0.95,STAY,BUY,BUY,0.19,STAY,False,False,STAY,0.06,0.0,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",500
LUMAXIND,Lumax Industries Limited,2254,1950.0,0.55,2429.75,NO TREND,INCREASING,52.52,-0.6,64.27,2.43,STAY,BUY,BUY,0.0,STAY,False,False,STAY,-0.39,-0.13,0.0,,-100,"['DOJI', 'LONGLEGGEDDOJI']",0
LUMAXTECH,Lumax Auto Technologies Limited,3293,587660.0,1.8,606.0,INCREASING,INCREASING,73.89,5.3,20.75,-9.33,SELL,BUY,BUY,0.99,BUY,True,False,STAY,0.59,3.61,0.0,,-100,,0
LUPIN,Lupin Limited,73665,476720.0,0.74,2076.85,NO TREND,INCREASING,42.85,-6.1,49.74,-4.5,STAY,BUY,BUY,0.12,STAY,False,False,STAY,0.15,-1.2,0.0,,-100,,0
LUXIND,Lux Industries Limited,3230,126441.0,0.95,2073.9,INCREASING,INCREASING,58.42,2.74,84.64,-4.67,STAY,BUY,BUY,0.79,BUY,False,False,SELL,0.39,1.88,0.0,,-200,,0
LXCHEM,Laxmi Organic Industries Limited,6486,554352.0,0.76,258.5,NO TREND,DECREASING,42.35,-2.59,7.78,0.37,STAY,BUY,STRONG SELL,0.0,STAY,False,False,STAY,0.54,-0.96,0.0,,0,,0
