STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
TATACOMM,Tata Communications Limited,57296,6664.0,0.03,1789.25,NO TREND,INCREASING,53.46,0.24,39.09,4.62,STAY,SELL,BUY,0.15,STAY,False,False,STAY,0.14,0.52,0.0,,0,,0
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,104449,28490.0,0.02,963.0,DECREASING,INCREASING,51.17,-4.17,21.82,2.85,STAY,BUY,BUY,0.08,STAY,False,False,STAY,-0.27,-1.13,0.0,,0,,0
TATAELXSI,Tata Elxsi Limited,48483,5976.0,0.01,7433.55,NO TREND,INCREASING,67.16,0.83,197.14,4.89,STAY,BUY,BUY,0.84,BUY,False,True,STAY,-0.05,0.45,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",300,,0
TATAINVEST,Tata Investment Corporation Limited,31591,878.0,0.02,6954.85,NO TREND,INCREASING,67.11,2.51,187.14,4.75,STAY,SELL,BUY,0.27,STAY,False,False,STAY,0.26,0.4,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,,0
TATAMOTORS,Tata Motors Limited,329932,416184.0,0.04,817.8,DECREASING,INCREASING,51.17,0.35,20.42,6.19,STAY,SELL,BUY,0.24,STAY,False,False,STAY,-0.14,0.12,0.0,['3INSIDE'],100,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",300
TATAPOWER,Tata Power Company Limited,125960,619161.0,0.06,441.85,NO TREND,INCREASING,63.81,1.03,12.84,4.79,STAY,BUY,BUY,0.29,STAY,False,False,STAY,-0.0,-0.26,0.0,,0,,-100
TATASTEEL,Tata Steel Limited,194555,435759.0,0.02,147.74,NO TREND,INCREASING,56.57,-1.54,3.28,5.91,STAY,BUY,BUY,0.42,STAY,False,False,STAY,-0.1,-0.37,0.0,,0,,0
TATATECH,Tata Technologies Limited,41402,31399.0,0.04,953.85,DECREASING,DECREASING,39.16,-0.02,20.51,6.64,BUY,SELL,SELL,0.66,SELL,False,False,STAY,0.12,-0.07,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",200
TATVA,Tatva Chintan Pharma Chem Limited,2523,1430.0,0.1,897.5,NO TREND,DECREASING,53.68,0.52,30.96,6.2,STAY,SELL,BUY,0.1,STAY,False,False,STAY,-0.19,0.62,0.0,,0,,0
TBZ,Tribhovandas Bhimji Zaveri Limited,694,238126.0,0.92,272.5,DECREASING,INCREASING,66.29,2.18,13.92,2.72,STAY,BUY,BUY,0.76,STAY,False,False,STAY,0.37,0.18,0.0,['ENGULFING'],100,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",300
TCI,Transport Corporation of India Limited,6309,6831.0,0.14,1227.0,NO TREND,INCREASING,69.28,1.81,51.51,4.39,STAY,BUY,BUY,0.55,STRONG BUY,False,True,STAY,0.22,0.92,0.0,['3INSIDE'],100,,0
TCIEXP,TCI Express Limited,3926,11822.0,0.2,873.95,DECREASING,DECREASING,48.11,6.03,27.41,1.94,STAY,SELL,BUY,0.52,STRONG SELL,False,False,STAY,-0.56,1.62,0.02,,0,['MARUBOZU'],100
TCIFINANCE,TCI Finance Limited,0,3031.0,0.18,13.0,NO TREND,INCREASING,49.37,3.15,0.27,0.68,STAY,SELL,SELL,0.04,STAY,False,True,BUY,0.45,0.0,1.92,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300,['DOJI'],100
TCL,Thaai Casting Limited,336,44800.0,1.09,154.0,NO TREND,DECREASING,52.44,-5.4,7.85,-1.13,STAY,SELL,STRONG SELL,0.08,STAY,False,False,STAY,0.12,-3.75,0.0,,0,,-100
TCLCONS,Tantia Constructions Limited,533,7666.0,0.07,47.36,INCREASING,INCREASING,67.23,-3.19,2.48,1.15,STAY,BUY,BUY,0.89,STRONG BUY,False,False,STAY,0.71,-3.35,0.0,,-100,,-100
TCPLPACK,TCPL Packaging Limited,2032,114.0,0.04,3282.75,NO TREND,INCREASING,63.59,2.75,108.16,5.19,STAY,BUY,BUY,0.18,STAY,False,False,STAY,-0.08,0.83,0.0,,-200,['HARAMI'],100
TCS,Tata Consultancy Services Limited,1402479,44261.0,0.02,4427.95,INCREASING,INCREASING,66.71,-1.9,81.69,5.71,STAY,BUY,BUY,0.74,STRONG BUY,False,False,STAY,0.1,-0.06,0.0,"['DOJI', 'LONGLEGGEDDOJI']",-100,"['DOJI', 'LONGLEGGEDDOJI', 'HAMMER', 'INVERTEDHAMMER']",300
TDPOWERSYS,TD Power Systems Limited,4633,220825.0,0.4,449.7,INCREASING,INCREASING,62.65,5.22,19.64,0.31,STAY,BUY,BUY,0.48,STAY,False,False,STAY,0.33,2.2,0.14,,0,,0
TEAMLEASE,Teamlease Services Limited,4595,1890.0,0.11,2809.7,NO TREND,INCREASING,49.27,-0.18,78.75,4.38,STAY,BUY,BUY,0.2,STAY,False,False,STAY,-0.14,-0.19,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",100
TECHIN,Techindia Nirman Limited,44,650.0,5.0,33.97,DECREASING,INCREASING,34.63,-7.81,0.94,-21.1,BUY,SELL,SELL,0.0,STRONG SELL,False,False,STAY,0.46,-8.21,0.0,['DOJI'],100,,-100
TECHLABS,Trident Techlabs Limited,414,66875.0,0.77,1315.8,INCREASING,INCREASING,81.15,2.14,54.96,-1.08,SELL,BUY,BUY,1.0,STRONG BUY,False,True,STAY,0.4,3.2,0.03,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400,,0
TECHM,Tech Mahindra Limited,121885,31521.0,0.02,1795.8,INCREASING,INCREASING,61.16,1.88,35.83,4.07,STAY,BUY,BUY,0.99,STAY,False,False,STAY,-0.06,0.94,0.0,,0,,0
TECHNOE,Techno Electric & Engineering Company Limited,8305,38569.0,0.34,1450.0,NO TREND,INCREASING,46.06,-7.38,71.99,0.83,STAY,SELL,STRONG SELL,0.45,STAY,False,False,STAY,-0.41,-2.09,0.0,,0,,0
TECHNOFAB,Technofab Engineering Limited,0,0.0,,6.15,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
TECILCHEM,TECIL Chemicals and Hydro Power Limited,38,275.0,0.42,23.71,NO TREND,INCREASING,49.86,-0.0,0.59,7.69,STAY,BUY,SELL,0.16,STAY,False,True,STAY,0.35,0.0,0.0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",200,['DOJI'],0
TEGA,Tega Industries Limited,8257,3534.0,0.04,1607.3,DECREASING,INCREASING,38.44,0.2,78.91,6.0,BUY,SELL,SELL,0.89,STRONG SELL,False,False,STAY,0.07,0.46,0.0,,-100,,0
TEJASNET,Tejas Networks Limited,11203,59650.0,0.06,1363.9,INCREASING,INCREASING,60.31,1.24,52.39,5.99,STAY,SELL,BUY,0.16,STAY,False,False,STAY,0.31,0.19,0.0,"['HARAMI', 'SPINNINGTOP']",200,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300
TEMBO,Tembo Global Industries Limited,279,58850.0,1.39,767.65,INCREASING,INCREASING,77.95,1.57,18.64,1.48,SELL,BUY,BUY,0.23,STRONG BUY,False,True,STAY,0.12,0.0,1.96,['DOJI'],100,['DOJI'],100
TERASOFT,Tera Software Limited,56,14834.0,1.75,185.66,INCREASING,INCREASING,67.46,-3.26,6.6,3.27,STAY,SELL,BUY,0.32,STRONG BUY,False,True,STAY,-0.14,0.0,-2.04,['DOJI'],100,['DOJI'],100
TEXINFRA,Texmaco Infrastructure & Holdings Limited,1209,537586.0,0.23,157.08,INCREASING,INCREASING,82.83,0.99,7.09,2.05,SELL,BUY,BUY,1.0,BUY,False,True,STAY,0.67,1.03,0.0,,0,,0
TEXMOPIPES,Texmo Pipes and Products Limited,225,6538.0,0.11,69.56,NO TREND,INCREASING,58.87,1.39,3.1,4.86,STAY,BUY,BUY,0.61,STAY,False,False,STAY,-0.34,-0.56,0.0,,-100,['HARAMI'],100
