STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
NIRAJISPAT,Niraj Ispat Industries Limited,11,0.0,,214.42,INCREASING,INCREASING,100.0,0.0,0.36,7.69,SELL,BUY,SELL,0.17,STAY,False,True,STAY,-0.02,0.0,0.0,['DOJI'],100,['DOJI'],100
NIRMAN,Nirman Agri Genetics Limited,105,25800.0,1.25,336.85,NO TREND,INCREASING,45.56,-3.99,16.65,1.25,STAY,BUY,STRONG SELL,0.0,STAY,False,False,STAY,-0.2,-2.63,0.0,,-100,,0
NITCO,Nitco Limited,402,46483.0,0.6,116.2,INCREASING,INCREASING,61.2,-3.11,5.34,4.26,STAY,BUY,BUY,0.46,STRONG BUY,False,False,SELL,0.13,-2.35,-2.41,"['DOJI', 'LONGLEGGEDDOJI', 'INVERTEDHAMMER']",200,,-200
NITINFIRE,Nitin Fire Protection Industries Limited,0,0.0,,1.85,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
NITINSPIN,Nitin Spinners Limited,1826,188984.0,0.66,408.6,INCREASING,INCREASING,53.41,5.22,18.62,-3.73,STAY,BUY,STRONG BUY,0.1,STAY,False,False,STAY,0.13,4.1,0.0,,0,['ENGULFING'],100
NITIRAJ,Nitiraj Engineers Limited,177,3558.0,0.08,233.06,DECREASING,INCREASING,42.65,-1.71,17.92,2.34,STAY,SELL,SELL,0.18,STAY,False,False,STAY,-0.25,-4.48,0.0,,0,,-100
NKIND,NK Industries Limited,33,2325.0,2.39,51.25,NO TREND,INCREASING,60.11,1.34,2.63,-0.15,STAY,BUY,BUY,0.46,STAY,False,False,STAY,0.1,-1.44,0.0,,0,,0
NLCINDIA,NLC India Limited,31629,536779.0,0.63,249.5,DECREASING,INCREASING,39.24,-2.77,9.94,2.28,BUY,BUY,SELL,0.36,STAY,False,False,STAY,0.49,-0.97,0.0,,0,['HAMMER'],100
NMDC,NMDC Limited,59124,9183279.0,0.55,231.88,NO TREND,INCREASING,48.44,-3.49,8.92,0.0,STAY,BUY,BUY,0.14,STAY,False,False,STAY,0.34,-1.07,0.0,,0,['HAMMER'],100
NOCIL,NOCIL Limited,4167,156820.0,0.59,275.45,DECREASING,INCREASING,44.92,-1.41,9.46,3.06,STAY,SELL,SELL,0.34,STAY,False,False,STAY,0.56,-0.2,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
